family,instrument,test,p,direction,q_within_family,q_all_tests
B_pesaran_timmermann_skill,spy,h=5 PT=-0.542,0.7060907470583833,skill,0.9488332187218765,0.8702091369151967
C_brier_worse_than_coin,spy,h=5 t=-1.574,0.1155,better,0.202125,0.25566990291262137
B_pesaran_timmermann_skill,spy,h=6 PT=-0.895,0.8146064560116055,skill,0.9488332187218765,0.920360630500234
C_brier_worse_than_coin,spy,h=6 t=-1.219,0.223,better,0.34688888888888886,0.39721875
B_pesaran_timmermann_skill,spy,h=7 PT=-0.801,0.7884341770753849,skill,0.9488332187218765,0.9078939008746857
C_brier_worse_than_coin,spy,h=7 t=-1.028,0.3037,better,0.44755789473684215,0.5017652173913043
D_shock_vs_calm_hit,spy,diff=-0.2653,0.00025,shock worse,0.0005,0.00114
E_pre_event_direction,spy,hit=0.4184 n=98,0.129293,below,0.258586,0.28075051428571424
F_continuation_7d,spy,mean=-0.517% n=98,0.1318,reversal,0.24226666666666666,0.2808448598130841
A_direction_vs_half,aapl,h=1 hit=0.5133,0.091535,above,0.12204666666666666,0.21515443298969075
A_direction_vs_half,aapl,h=2 hit=0.5386,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,aapl,h=3 hit=0.5473,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,aapl,h=4 hit=0.5574,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,aapl,h=5 hit=0.5551,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,aapl,h=6 hit=0.566,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,aapl,h=7 hit=0.5654,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
B_pesaran_timmermann_skill,aapl,h=1 PT=-0.102,0.5406216624575756,skill,0.9488332187218765,0.7274326588235294
C_brier_worse_than_coin,aapl,h=1 t=2.105,0.0353,worse,0.08594782608695652,0.10060499999999999
B_pesaran_timmermann_skill,aapl,h=2 PT=0.775,0.2191698297933774,skill,0.9488332187218765,0.39347024561330746
C_brier_worse_than_coin,aapl,h=2 t=0.648,0.5167,worse,0.6290260869565217,0.7189635679300443
B_pesaran_timmermann_skill,aapl,h=3 PT=0.436,0.3314183647853287,skill,0.9488332187218765,0.5378940425531915
C_brier_worse_than_coin,aapl,h=3 t=0.662,0.5082,worse,0.6290260869565217,0.7189635679300443
B_pesaran_timmermann_skill,aapl,h=4 PT=1.501,0.06667778078440001,skill,0.9488332187218765,0.17275606839594548
C_brier_worse_than_coin,aapl,h=4 t=0.407,0.6844,worse,0.7514980392156863,0.8573802197802198
B_pesaran_timmermann_skill,aapl,h=5 PT=0.838,0.2010153517493265,skill,0.9488332187218765,0.36665200159077155
C_brier_worse_than_coin,aapl,h=5 t=0.325,0.7453,worse,0.7874867924528302,0.8828141686747029
B_pesaran_timmermann_skill,aapl,h=6 PT=0.892,0.18619646619742403,skill,0.9488332187218765,0.34797372371321866
C_brier_worse_than_coin,aapl,h=6 t=0.612,0.5408,worse,0.6443574468085106,0.7274326588235294
B_pesaran_timmermann_skill,aapl,h=7 PT=0.521,0.30118338568461656,skill,0.9488332187218765,0.5012395031831575
C_brier_worse_than_coin,aapl,h=7 t=0.721,0.4712,worse,0.6199454545454546,0.6985715384615384
D_shock_vs_calm_hit,aapl,diff=-0.049,0.0015,shock worse,0.0024000000000000002,0.005896551724137932
E_pre_event_direction,aapl,hit=0.4941 n=170,0.938895,below,1.0,0.9814742481160624
F_continuation_7d,aapl,mean=-0.733% n=170,0.0429,reversal,0.1144,0.11644285714285714
A_direction_vs_half,msft,h=1 hit=0.5177,0.024455,above,0.03804111111111111,0.0724122077922078
A_direction_vs_half,msft,h=2 hit=0.5151,0.054608,above,0.07841148717948718,0.1447746976744186
A_direction_vs_half,msft,h=3 hit=0.5394,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,msft,h=4 hit=0.5423,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,msft,h=5 hit=0.5563,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,msft,h=6 hit=0.553,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,msft,h=7 hit=0.537,2e-06,above,4.1481481481481485e-06,1.2324324324324323e-05
B_pesaran_timmermann_skill,msft,h=1 PT=1.475,0.07010627171122308,skill,0.9488332187218765,0.17436052173913041
C_brier_worse_than_coin,msft,h=1 t=2.353,0.0186,worse,0.04734545454545454,0.057308108108108095
B_pesaran_timmermann_skill,msft,h=2 PT=-0.697,0.7570986030954108,skill,0.9488332187218765,0.885222982080788
C_brier_worse_than_coin,msft,h=2 t=1.931,0.0535,worse,0.12483333333333334,0.14350588235294118
B_pesaran_timmermann_skill,msft,h=3 PT=0.984,0.16255775645082426,skill,0.9488332187218765,0.3279926413344065
C_brier_worse_than_coin,msft,h=3 t=0.421,0.6735,worse,0.7514980392156863,0.8573802197802198
B_pesaran_timmermann_skill,msft,h=4 PT=0.534,0.29667076703441875,skill,0.9488332187218765,0.5012395031831575
C_brier_worse_than_coin,msft,h=4 t=0.695,0.4871,worse,0.6199454545454546,0.7029037974683544
